Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue id,Venue price level,Venue Rating,Total user ratings,Venue Category
Dublin 6,53.32255600000001,-6.265288,Motherboard,53.3191406,-6.2666933,0a0dd80223c225abd2d3ac96e700293991ec2e29,0,5.0,4,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,GreenCross Publishing Ltd,53.326292200000005,-6.2652727,51c5410fa2803a866657590c0213fe8c1226539c,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,HNS Computer Clinic (Rathmines),53.32648529999999,-6.265149099999999,b1df1489941bc24275d879477805364806de704d,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Bourkes Allcare Pharmacy,53.32342140000001,-6.265321299999999,4a619c0b9d184de0a7361d6dda576dd3a8ef5741,0,5.0,1,"['pharmacy', 'health', 'point_of_interest', 'store', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Rathgar Dental Clinic.....Dr. Robert Gorby,53.31755399999999,-6.270193900000001,da982b771e2780849c9ba33b1564d2f9d31599c2,0,5.0,5,"['dentist', 'health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Sean McDonnell Solicitors,53.32311900000001,-6.2657538,95f0bb2ec7d0e6524ea6f191df433daf8f36f4c1,0,4.0,4,"['lawyer', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Dublin Psychologist,53.3199155,-6.268125,e04a5981f67d513d953c4889047e1d5b49fe0ed6,0,0.0,0,"['health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,exempted development,53.3191874,-6.266638200000001,0ee571445516b36104731c84fc955917a9dc731e,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Pyramid Consulting Ltd,53.32647559999999,-6.266997599999999,70b951f33d3f3444b94718e81f8e83531ea1e67d,0,0.0,0,"['point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Rathmines Pain & Injury Clinic,53.3249073,-6.265673400000002,f9ebe527605b37fbfb14e1919505bbb964eba89f,0,5.0,16,"['physiotherapist', 'health', 'point_of_interest', 'establishment']"
Dublin 6,53.32255600000001,-6.265288,Kildorcet Limited trading as Halton Construction,53.3238628,-6.272589399999998,707a4a376af2a9bfd4fb99a82bb1605f951ac040,0,3.0,1,"['point_of_interest', 'establishment']"
