Name,Commercial Type,Price,sq metres,Neighbourhood,Price per sq metres
"3B & 3C Avonbeg Industrial Estate, Longmile Rd, Walkinstown, Dublin 12",Industrial Unit For Sale,600000.0,887.0,Dublin 12,676.44
"Riverview House, Riverview Business Park, Nangor Road, Park West, Dublin 12",Office For Sale,850000.0,927.0,Dublin 12,916.94
"Unit 12 Willow Business Park, Knockmitten Lane, Park West, Dublin 12",Investment Property For Sale,220000.0,203.0,Dublin 12,1083.74
"Kylemore road, Bluebell, Dublin 12",Industrial Unit To Let or For Sale,500000.0,465.0,Dublin 12,1075.27
"Unit 40 Park West Enterprise Centre, Park West, Dublin 12",Industrial Unit To Let or For Sale,185000.0,177.0,Dublin 12,1045.2
"Unit 14 Mulcahy Keane Industrial estate, Greenhille Road, Walkinstown, Dublin 12",Industrial Unit For Sale,425000.0,465.0,Dublin 12,913.98
"3 Ballymount Cottages, Turnpike road, Ballymount, Dublin 12",Commercial Site For Sale,595000.0,1100.0,Dublin 12,540.91
"Floods Bar, 140 & 142 Sundrive Road, Kimmage, Dublin 12",Restaurant / Bar / Hotel For Sale,975000.0,582.0,Dublin 12,1675.26
"122a Cromwellsfort Road and 2 Cherry Grove Road, Walkinstown, Dublin 12",Commercial Site For Sale,850000.0,1376.0,Dublin 12,617.73
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Investment Property For Sale,3300000.0,933.0,Dublin 12,3536.98
"Walkinstown Mall, Walkinstown Road, Walkinstown, Dublin 12",Retail Unit For Sale,3300000.0,933.0,Dublin 12,3536.98
"5 Saint Agnes Road, Crumlin, Dublin 12",Retail Unit To Let or For Sale,550000.0,115.0,Dublin 12,4782.61
"Unit 11 Western Parkway Business Centre, Ballymount Drive, Ballymount, Dublin 12",Industrial Unit To Let or For Sale,180000.0,196.0,Dublin 12,918.37
"Unit 79 Western Parkway Business Park, Ballymount, Dublin 12",Industrial Unit For Sale,250000.0,255.0,Dublin 12,980.39
"50 A Robinhood Road, Ballymount, Dublin 12",Industrial Unit For Sale,595000.0,776.0,Dublin 12,766.75
"2 La Touche Road, Bluebell, Dublin 12",Retail Unit For Sale,170000.0,76.0,Dublin 12,2236.84
"Unit 7 A, Riverview Business Park, New Nangor Road, Park West, Dublin 12",Industrial Unit For Sale,225000.0,194.0,Dublin 12,1159.79
