Name,Commercial Type,Price,sq metres,Neighbourhood
"Terenure Rd Terenure Dublin 6 w, Terenure, Dublin 6w",Retail Unit For Sale,39800,37,Dublin 6w
"300 Harold's Cross Road, Harold's Cross, Dublin 6w",Investment Property For Sale,1250000,340,Dublin 6w
"Fassagh Avenue, Cabra, D07 KH60, Dublin 7",Development Land For Sale,850000,,Dublin 7
"168-169 Phibsborough Road, Phibsborough, Dublin 7",Development Land For Sale,,,Dublin 7
"72 Eccles Street, Phibsborough, D07 RD8P, Dublin 7",Investment Property For Sale,2250000,382,Dublin 7
"344 North Circular Road, Phibsborough, Dublin 7",Retail Unit For Sale,175000,43,Dublin 7
"Unit 16 Phibsborough Shopping Centre, Phibsborough, Dublin 7",Retail Unit For Sale,1250000,177,Dublin 7
"Unit 507 The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,250000,33,Dublin 7
"Unit 112, The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,200000,37,Dublin 7
"Unit 221, The Capel Building, Mary's Abbey, Dublin 7",Office For Sale,250000,42,Dublin 7
"88, 89, 90 and 92a Prussia Street, Dublin 7",Investment Property For Sale,1800000,557,Dublin 7
"Cabra Barber Shop 56c Dowth Avenue, Cabra, Dublin 7",Retail Unit For Sale,150000,42,Dublin 7
"1 Imaal Mart, Imall Road, Cabra, Dublin 7",Retail Unit For Sale,150000,37,Dublin 7
"79 Montpellier Hill, Arbour Hill, Dublin 7",Investment Property For Sale,1800000,319,Dublin 7
"Suite 108 Capel Building, Dublin 7",Office For Sale,125000,33,Dublin 7
"The Chancery Inn, Inns Quay, Smithfield, Dublin 7",Investment Property For Sale,1350000,405,Dublin 7
"88 North King Street, Dublin 7",Investment Property For Sale,600000,126,Dublin 7
"Arran Street East, Smithfield, Dublin 7",Commercial Site For Sale,,344,Dublin 7
"Maple Village Centre, Navan Road (D7), Dublin 7",Investment Property For Sale,7100000,2544,Dublin 7
79,Development Land For Sale,1500000,,79
"2 Villa Park Avenue, Off Navan Road, Dublin 7",Investment Property For Sale,435000,93,Dublin 7
"384 North Circular Road, Dublin 7",Investment Property For Sale,1400000,,Dublin 7
"86 North King Street, Smithfield, Stoneybatter, Dublin 7",Development Land For Sale,400000,,Dublin 7
"Little Britain St, Dublin 7",Investment Property For Sale,,223,Dublin 7
"296C North Circular Road, Phibsborough, Dublin 7",Investment Property For Sale,375000,135,Dublin 7
"296B NOrth Circular Road, North Circular Road, Dublin 7",Investment Property For Sale,445000,182,Dublin 7
"32 Old Kilmainham Road, Kilmainham, Dublin 8",Office For Sale,699950,,Dublin 8
"Unit 1, Ardee Court, Dublin 8",Retail Unit For Sale,110000,47,Dublin 8
"203 Emmet Road, Inchicore, Dublin 8",Development Land For Sale,295000,,Dublin 8
"5 Echlin Street, Dublin 8",Development Land For Sale,,,Dublin 8
"The Bank House, 14 Cornmarket, Merchants Quay, Dublin 8",Investment Property For Sale,585000,132,Dublin 8
"10 Usher's Island and 32 Island Street, Dublin 8",Development Land For Sale,700000,,Dublin 8
"Unit 2 Jamestown Industrial Estate, Inchicore, Dublin 8",Industrial Unit To Let or For Sale,795000,1241,Dublin 8
"Apt, Christchurch Hall, High Street, Christchurch, Dublin 8",Investment Property For Sale,325000,,Dublin 8
"10 Meath Street, The Liberties, Dublin 8, Dublin 8",Investment Property For Sale,495000,137,Dublin 8
"128-129 Thomas Street, Dublin 8",Retail Unit For Sale,975000,264,Dublin 8
"128-129 Thomas Street, Dublin 8",Development Land For Sale,,,Dublin 8
72,Development Land For Sale,2450000,,72
"2 Grantham Place, South Circular Road, Dublin 8",Development Land For Sale,495000,,Dublin 8
"12A St James Terrace, Dublin 8",Development Land For Sale,1250000,,Dublin 8
"Unit 3 Oblate View, Inchicore, Dublin 8",Investment Property For Sale,220000,38,Dublin 8
"63 Clanbrassil Street Lower, Dublin 8",Retail Unit For Sale,395000,157,Dublin 8
"344 South Circular Road, South Circular Road, Dublin 8",Retail Unit For Sale,549950,204,Dublin 8
"23/24 & 29 Parkgate Street, Dublin 8",Development Land For Sale,,,Dublin 8
"23/24 & 29 Parkgate Street, Dublin 8",Investment Property For Sale,,1484,Dublin 8
"Clanbrassil Street, Dublin 8",Restaurant / Bar / Hotel For Sale,420000,204,Dublin 8
"The Millworks, Islandbridge, Dublin 8",Investment Property For Sale,12500000,2283,Dublin 8
"Kingsland Park, St Kevins Road, Portobello, Dublin 8, Dublin 8",Office For Sale,1200000,254,Dublin 8
"98/99 Francis Street, Dublin 8",Investment Property For Sale,,659,Dublin 8
"109 South Circular Road, Dublin 8",Office For Sale,600000,175,Dublin 8
"South Circular Road, Portobello, Dublin 8",Investment Property For Sale,1500000,580,Dublin 8
