Name,Latitude,Longitude,Classification
Bleecker St Cafe,53.3572402617074,-6.26405472233626,Pub
Tom Mayes,53.355836,-6.265206,Pub
The Temple Kavanaghs Pub,53.3574605849491,-6.26353869528167,Pub
Caulfield's Hotel,53.358459889900104,-6.26270591896641,Pub
Phil Ryan's (The Hogan Stand),53.358539454062395,-6.2555612616663305,Pub
Hill 16,53.354841936682796,-6.2573146820068395,Pub
Gills Corner House,53.358410185371504,-6.25446081161499,Pub
Bridge Tavern,53.35731275359329,-6.2491205699388805,Pub
Naomh Padraig CSC,53.354743799999994,-6.2495469,Pub
Brendan Behan,53.356936,-6.24926,Pub
Cusacks Spinnaker,53.35744725774779,-6.242795410114129,Pub
Gate Inn,53.3578899344269,-6.23823881149292,Pub
Gate Inn,53.3578899344269,-6.23823881149292,Pub
