Name,Latitude,Longitude,Classification,Cluster label
Dechert LLC,53.35020649999999,-6.246353599999999,Company,3
Scotiabank (Ireland) Limited,53.3483908,-6.2504650999999996,Company,3
Depfa Bank PLC,53.3458585,-6.2507611,Company,3
BNP Paribas Fund Services Dublin Limited,53.3417971,-6.253533999999999,Company,2
Regeneron Pharmaceuticals Incorporated Dublin,53.333683400000005,-6.2631431,Company,2
New Relic International Ltd.,53.341069,-6.267545399999999,Company,0
JP Morgan Merchant Services,53.344805799999996,-6.2315043,Company,1
Harland Financial Solutions,53.33049499999999,-6.228127099999999,Company,4
Intellectual Ventures,53.332471700000006,-6.2619526,Company,2
Apleona HSG Facility Management,53.33286099999999,-6.235411599999999,Company,4
Primeur Dublin,53.34351299999999,-6.2837019,Company,0
Twitter International,53.3417468,-6.2494858,Company,3
AON Centre For Innovation and Analytics,53.352392200000004,-6.2542065000000004,Company,3
Zynga Incorporated,53.3314552,-6.2314756,Company,4
Eea Fund Management,53.33373910000001,-6.2524795,Company,2
CDB Aviation,53.3471706,-6.252800700000001,Company,3
Hudson's Bay Company Dublin,53.3330289,-6.2312037,Company,4
Equifax Ireland,53.3453895,-6.2357621,Company,1
CarGurus Ireland Limited,53.334173899999996,-6.2624102,Company,2
Morgan Stanley Fund Services (Ireland) Limited,53.34638400000001,-6.245101999999999,Company,3
Prudential International Assurance PLC,53.33305559999999,-6.259964599999999,Company,2
Infocare Health Systems,53.342189000000005,-6.283792,Company,0
Pond5 Media Ireland Limited,53.34760060000001,-6.2333678,Company,1
Sankaty Advisors,53.33514599999999,-6.250432900000001,Company,2
Bloomberg Polarlake,53.332928700000004,-6.2622152,Company,2
Aztec Exchange Limited T/a aztec Money,53.345639500000004,-6.271448599999999,Company,0
Neomed,53.3370782,-6.2504355999999985,Company,2
Stepstone (Swiss Capital Invest Holding (Dublin) Limited),53.3330537,-6.2531123,Company,2
Takeda Global Supply Chain,53.3362394,-6.2471773,Company,2
Dubai Aerospace Enterprise,53.345093000000006,-6.2357517,Company,1
ZIV Automation Ireland,53.34404199999999,-6.2648598999999985,Company,0
Smartbox Group Limited,53.351669900000005,-6.2515727,Company,3
Everest Reinsurance Company Ireland Limited,53.3386927,-6.2551991,Company,2
