combo,KF_acc_mean,KF_acc_max,KF_acc_min,KF_var,CV_acc_mean,CV_acc_max,CV_acc_min,CV_var,nFeatures,knn_k
"['Hotel', 'University', 'Cafe', 'Pub', 'Museum', 'Price Area']",0.4396631823461091,0.5853658536585366,0.23809523809523808,0.012775400265202255,0.5586527293844366,0.6666666666666666,0.4523809523809524,0.0031573367002958224,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Restaurant', 'Company']",0.38414634146341464,0.5365853658536586,0.23809523809523808,0.008939936275918261,0.47218350754936117,0.5365853658536586,0.34146341463414637,0.0034924445685472296,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Restaurant', 'Liffey']",0.3937862950058072,0.6428571428571429,0.16666666666666666,0.01901156516542767,0.5061556329849013,0.6666666666666666,0.38095238095238093,0.009212082215396569,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Restaurant', 'Price Area']",0.401219512195122,0.5609756097560976,0.21428571428571427,0.012531646209941443,0.510801393728223,0.6190476190476191,0.42857142857142855,0.0037765151668440536,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Company', 'Liffey']",0.3600464576074332,0.5952380952380952,0.16666666666666666,0.011612243549015877,0.46765389082462255,0.6190476190476191,0.35714285714285715,0.0063777398724709,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Company', 'Price Area']",0.3842044134727062,0.6097560975609756,0.19047619047619047,0.01262558324936161,0.48693379790940766,0.5853658536585366,0.3333333333333333,0.004799557141912882,6,10
"['Hotel', 'University', 'Cafe', 'Pub', 'Liffey', 'Price Area']",0.4010452961672474,0.5476190476190477,0.2857142857142857,0.008715805973390747,0.5277584204413472,0.6190476190476191,0.35714285714285715,0.005752757577351782,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Museum', 'Restaurant']",0.4108594657375145,0.5714285714285714,0.2857142857142857,0.011832070722399609,0.5202090592334494,0.6428571428571429,0.4523809523809524,0.002878698971160942,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Museum', 'Company']",0.4178861788617886,0.5952380952380952,0.2857142857142857,0.010490003655636359,0.5156213704994193,0.5714285714285714,0.4523809523809524,0.0012913063301862493,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Museum', 'Liffey']",0.3939605110336818,0.5952380952380952,0.23809523809523808,0.015703871871969092,0.5083623693379791,0.5952380952380952,0.4523809523809524,0.002083388977244675,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Museum', 'Price Area']",0.4038327526132404,0.5853658536585366,0.2619047619047619,0.01424836204559159,0.5321718931475029,0.6428571428571429,0.42857142857142855,0.003397057415073903,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Restaurant', 'Company']",0.4395470383275262,0.5609756097560976,0.30952380952380953,0.009450996936549756,0.5129500580720092,0.5952380952380952,0.43902439024390244,0.0022858552502896855,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Restaurant', 'Liffey']",0.40586527293844366,0.6428571428571429,0.23809523809523808,0.01619375749506624,0.5131823461091753,0.6190476190476191,0.4146341463414634,0.0034583567712232637,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Restaurant', 'Price Area']",0.42061556329849015,0.5609756097560976,0.2619047619047619,0.011242231772740826,0.5250871080139372,0.6428571428571429,0.42857142857142855,0.0032190373670785005,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Company', 'Liffey']",0.41777003484320563,0.6428571428571429,0.2619047619047619,0.011706885411313048,0.5131242740998838,0.5714285714285714,0.4523809523809524,0.001538753117745215,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Company', 'Price Area']",0.43461091753774683,0.5853658536585366,0.2619047619047619,0.011351438850376558,0.5084204413472706,0.5952380952380952,0.40476190476190477,0.0037208071806950024,6,10
"['Hotel', 'University', 'Cafe', 'Luas', 'Liffey', 'Price Area']",0.39419279907084787,0.5609756097560976,0.23809523809523808,0.012732460027437508,0.5346109175377469,0.6904761904761905,0.38095238095238093,0.005955260946337686,6,10
"['Hotel', 'University', 'Cafe', 'Museum', 'Restaurant', 'Company']",0.3916376306620209,0.5714285714285714,0.23809523809523808,0.01183388842350345,0.4915214866434379,0.6097560975609756,0.4146341463414634,0.0036673182062831092,6,10
"['Hotel', 'University', 'Cafe', 'Museum', 'Restaurant', 'Liffey']",0.3889663182346109,0.6666666666666666,0.23809523809523808,0.01642262933331175,0.48931475029036003,0.5952380952380952,0.38095238095238093,0.0040057680815733,6,10
"['Hotel', 'University', 'Cafe', 'Museum', 'Restaurant', 'Price Area']",0.41329849012775843,0.5952380952380952,0.23809523809523808,0.015021228995266558,0.5202090592334495,0.5952380952380952,0.42857142857142855,0.003332213710389966,6,10
"['Hotel', 'University', 'Cafe', 'Museum', 'Company', 'Liffey']",0.374390243902439,0.6428571428571429,0.21428571428571427,0.013783033935366734,0.49181184668989547,0.5476190476190477,0.35714285714285715,0.003157771734511772,6,10
