Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Dublin 2,53.341785,-6.257723,The Old Stand,53.343089776897905,-6.26204125531542,Sports Bar
Dublin 2,53.341785,-6.257723,The Dawson Lounge,53.33967260392796,-6.258668060542133,Pub
Dublin 2,53.341785,-6.257723,Lincoln's Inn,53.34183754874652,-6.2524090800662195,Pub
Dublin 2,53.341785,-6.257723,Davy Byrnes,53.341905899751076,-6.259359157138696,Gastropub
Dublin 2,53.341785,-6.257723,The Rag Trader,53.34279640453959,-6.262776195041484,Pub
Dublin 2,53.341785,-6.257723,Johnny Rush's,53.342834776733476,-6.262238917208046,Pub
Dublin 2,53.341785,-6.257723,O'Neill's,53.344112396240234,-6.2609052658081055,Pub
Dublin 2,53.341785,-6.257723,Inn on the Green,53.33934937972045,-6.261294921370351,Hotel Bar
Dublin 2,53.341785,-6.250158,The Ginger Man,53.341859,-6.24958,Pub
Dublin 2,53.341785,-6.250158,Kennedy's,53.34209727414918,-6.250642632495564,Pub
Dublin 2,53.341785,-6.250158,Jp Mooneys,53.342014,-6.2548094,Pub
Dublin 2,53.341785,-6.250158,The Pig's Ear,53.3422594524162,-6.254986572364017,Restaurant
Dublin 2,53.341785,-6.250158,The Lombard,53.344223,-6.248787,Pub
Dublin 2,53.341785,-6.250158,Lincoln's Inn,53.34183754874652,-6.2524090800662195,Pub
Dublin 2,53.341785,-6.250158,McGrattan's Cafe Bar,53.338605541618605,-6.251264899194048,Bar
Dublin 2,53.341785,-6.250158,The Square Ball,53.34096473303529,-6.244898567523456,Sports Bar
Dublin 2,53.341785,-6.250158,London Irish Pub,53.34277159203804,-6.251547445689901,Pub
Dublin 2,53.341785,-6.242594,The Square Ball,53.34096473303529,-6.244898567523456,Sports Bar
Dublin 2,53.341785,-6.242594,Becky Morgans,53.33991770531453,-6.242068196632412,Pub
Dublin 2,53.341785,-6.242594,Padraig Pearse,53.343144,-6.244576,Pub
Dublin 4,53.341785,-6.235029,Scuttle's,53.342122518301295,-6.235213279724121,Pub
Dublin 4,53.341785,-6.227464,The Oarsman,53.341633,-6.227719,Pub
Dublin 4,53.341785,-6.227464,John Clarke & Son's,53.3416711,-6.2275263,Pub
Dublin 8,53.346592,-6.295547,Nancy Hands,53.34811544121375,-6.294134523301777,Pub
Dublin 8,53.346592,-6.295547,Ryan's,53.3480455452277,-6.293783267978651,Bar
Dublin 8,53.346592,-6.295547,Dillons Parkgate Street,53.34821,-6.294439,Pub
Dublin 8,53.346592,-6.287982,The Millennium Spirits,53.3479659096028,-6.29002554659154,Pub
Dublin 8,53.346592,-6.287982,Millenium,53.347915185262735,-6.290886164276011,Pub
Dublin 8,53.346592,-6.287982,McCanns,53.34377592016663,-6.290357955489765,Pub
Dublin 8,53.346592,-6.280417,Frank Ryan's Bar,53.34697801477413,-6.280061252290714,Pub
Dublin 8,53.346592,-6.280417,Dice Bar,53.34717387838663,-6.28032405506338,Pub
Dublin 8,53.346592,-6.280417,Pifko Bar,53.345964,-6.28031,Pub
Dublin 8,53.346592,-6.280417,The Brazen Head,53.344981786479565,-6.2763350556607875,Irish Pub
Dublin 8,53.346592,-6.280417,O'Sheas Merchant,53.34505164200867,-6.275904169224068,Pub
